"","sample","forward","reverse"
"1","130021014",150896,150896
"2","130061011",139915,139915
"3","130061013",152616,152616
"4","130061021",124495,124495
"5","130091013",178943,178943
"6","130091021",121062,121062
"7","130211202",39290,39290
"8","130271009",108346,108346
"9","130271205",145840,145840
"10","130291020",135537,135537
"11","130291206",68643,68643
"12","130301014",115925,115925
"13","130401014",131812,131812
"14","130491008",352,352
"15","130491013",117696,117696
"16","130491022",147253,147253
"17","130501022",129137,129137
"18","130591010",116377,116377
"19","130611014",162765,162765
"20","130621012",57593,57593
"21","130651009",145187,145187
"22","130671010",110867,110867
"23","130671203",126898,126898
"24","130691016",152672,152672
"25","130701022",156770,156770
"26","130701203",66225,66225
"27","130711008",173362,173362
"28","130751007",122915,122915
"29","130751208",130673,130673
"30","130771018",2,2
"31","130771202",63004,63004
"32","130771208",101912,101912
"33","130861010",109408,109408
"34","130861016",131829,131829
"35","130881204",91466,91466
"36","130881209",192629,192629
"37","130891202",120319,120319
"38","130921016",153736,153736
"39","130921201",127808,127808
"40","130941015",181743,181743
"41","130951011",160049,160049
"42","130951013",178275,178275
"43","131011005",133195,133195
"44","131011017",166905,166905
"45","131041013",148664,148664
"46","131041202",161496,161496
"47","131081009",151484,151484
"48","131101014",144110,144110
"49","131101201",120303,120303
"50","131131012",114305,114305
"51","131141010",38703,38703
"52","131141203",81417,81417
"53","131161202",90852,90852
"54","131191204",123824,123824
"55","131211011",115683,115683
"56","131241010",106631,106631
"57","131241013",148283,148283
"58","131271202",68137,68137
"59","131331201",103824,103824
"60","131341007",144390,144390
"61","131361012",1,1
"62","131361014",159777,159777
"63","131391012",142835,142835
"64","131391201",85017,85017
"65","131411018",151078,151078
"66","131481204",109162,109162
"67","131541017",127796,127796
"68","131541215",68448,68448
"69","131561014",27721,27721
"70","131621010",123670,123670
"71","131621013",194112,194112
"72","131631015",153037,153037
"73","131641010",127867,127867
"74","131641016",149818,149818
"75","131751014",187407,187407
"76","131801017",143461,143461
"77","131841008",150410,150410
"78","131891016",136128,136128
"79","131911012",142224,142224
"80","131971008",139508,139508
"81","132011204",107220,107220
"82","132061017",82422,82422
"83","132131203",118082,118082
"84","132181206",117685,117685
"85","132211017",219980,219980
"86","132211206",112451,112451
"87","132261212",116595,116595
"88","132281203",137659,137659
"89","132291011",198012,198012
"90","132351007",115617,115617
"91","132351202",91666,91666
"92","132451209",119097,119097
"93","132471010",147507,147507
"94","132491009",136293,136293
"95","132541017",148052,148052
"96","132551202",124793,124793
"97","132631007",149080,149080
"98","132671207",153799,153799
"99","132681011",205702,205702
"100","132701206",128261,128261
"101","132711009",140266,140266
"102","132761006",165428,165428
"103","132761010",198016,198016
"104","132761014",135267,135267
"105","132811201",115054,115054
"106","132861206",92737,92737
"107","132901009",163991,163991
"108","132911007",225935,225935
"109","132931015",198459,198459
"110","133011204",117153,117153
"111","133021008",145784,145784
"112","133081204",133575,133575
"113","133091013",147640,147640
"114","133141006",129600,129600
"115","133141014",146479,146479
"116","133261008",146506,146506
"117","133271204",118313,118313
"118","133391012",169740,169740
"119","133431011",146129,146129
"120","133451008",204666,204666
"121","133491014",136054,136054
"122","133621007",167594,167594
"123","235041012",110923,110923
"124","235041014",136410,136410
"125","235041016",140091,140091
"126","235051017",110902,110902
"127","235051022",146229,146229
"128","235071008",121519,121519
"129","235071013",139561,139561
"130","235081020",49663,49663
"131","235111016",105454,105454
"132","235171013",82762,82762
"133","235201014",41988,41988
"134","235281018",102747,102747
"135","235291016",120758,120758
"136","235301022",141275,141275
"137","235371017",83774,83774
"138","235381020",141710,141710
"139","235451018",175801,175801
"140","235491013",28110,28110
"141","235491019",71128,71128
"142","235511014",77908,77908
"143","235571013",101351,101351
"144","235581007",116099,116099
"145","235691010",39216,39216
"146","235691021",119090,119090
"147","235701020",135124,135124
"148","235711014",92343,92343
"149","235731011",111876,111876
"150","235801010",108651,108651
"151","235841010",98957,98957
"152","235871019",109602,109602
"153","235911011",110415,110415
"154","235981009",117374,117374
"155","236011014",168501,168501
"156","236021010",145868,145868
"157","236021013",147536,147536
"158","236101018",159130,159130
"159","236121014",109746,109746
"160","236171013",137895,137895
"161","236191018",118356,118356
"162","236221010",135769,135769
"163","236241017",97524,97524
"164","236271017",159829,159829
"165","236301013",118405,118405
"166","236351010",112184,112184
"167","236361011",67049,67049
"168","236391016",124261,124261
"169","236451013",122075,122075
"170","236501003",115811,115811
"171","236511201",64807,64807
"172","236591004",81291,81291
"173","236801005",100098,100098
"174","236891011",94423,94423
"175","236921015",139273,139273
"176","236931010",102494,102494
"177","237001012",98388,98388
"178","237021011",142813,142813
"179","237031014",94342,94342
"180","237061013",161987,161987
"181","237091013",126908,126908
"182","237141014",159844,159844
"183","237171014",119804,119804
"184","237311010",107272,107272
"185","237331013",110573,110573
"186","237341010",119684,119684
"187","237361012",120672,120672
"188","237371010",57342,57342
"189","237401011",185032,185032
"190","237441011",154914,154914
"191","237531001",76291,76291
"192","237611013",98812,98812
"193","237621013",138965,138965
"194","237651012",127279,127279
"195","237681011",102585,102585
"196","HM-782D-Pos1",77711,77711
"197","HM-782D-Pos2",85373,85373
"198","HM-782D-Pos3",70502,70502
"199","HM-782D-Pos4",50720,50720
"200","HM-782D-Pos5",62204,62204
"201","HM-782D-Pos6",67374,67374
"202","neg1",598,598
"203","neg2",610,610
"204","neg3",375,375
"205","neg4",131,131
"206","neg5",13,13
"207","neg6",119,119
